IRIS,IRIS_NAME,Nb_BT
24510000,Magny-la-Fosse,2
24520000,Maissemy,3
24540000,La Malmaison,6
24550000,Malzy,9
24560000,Manicamp,7
24570000,Marchais,8
24580000,Dhuys et Morin-en-Brie,39
24590000,Marcy,4
24600000,Marcy-sous-Marle,4
24610000,Marest-Dampcourt,7
24620000,Mareuil-en-Dôle,4
24650000,Marigny-en-Orxois,14
24660000,Marizy-Sainte-Geneviève,1
24670000,Marizy-Saint-Mard,1
24680000,Marle,43
24690000,Marly-Gomont,10
24700000,Martigny,2
24710000,Martigny-Courpierre,6
24720000,Mauregny-en-Haye,19
24730000,Mayot,5
24740000,Mennessis,8
24750000,Menneville,6
24760000,Mennevret,11
24770000,Mercin-et-Vaux,1
24780000,Merlieux-et-Fouquerolles,8
24800000,Mesbrecourt-Richecourt,6
24810000,Mesnil-Saint-Laurent,8
24830000,Mézières-sur-Oise,7
24840000,Mézy-Moulins,9
24850000,Missy-aux-Bois,4
24860000,Missy-lès-Pierrepont,4
24870000,Missy-sur-Aisne,10
24880000,Molain,2
24890000,Molinchart,6
24900000,Monampteuil,5
24910000,Monceau-le-Neuf-et-Faucouzy,11
24920000,Monceau-lès-Leups,11
24930000,Monceau-le-Waast,2
24940000,Monceau-sur-Oise,5
24950000,Mondrepuis,29
24960000,Monnes,2
24970000,Mons-en-Laonnois,13
24980000,Montaigu,24
24990000,Montbavin,2
25000000,Montbrehain,8
25010000,Montchâlons,5
25020000,Montcornet,19
25030000,Mont-d'Origny,8
25040000,Montescourt-Lizerolles,13
25050000,Montfaucon,19
25060000,Montgobert,7
25070000,Montgru-Saint-Hilaire,6
25080000,Monthenault,6
25090000,Monthiers,6
25100000,Monthurel,4
25110000,Montigny-en-Arrouaise,3
25120000,Montigny-l'Allier,6
25130000,Montigny-le-Franc,2
25140000,Montigny-Lengrain,27
25150000,Montigny-lès-Condé,6
25160000,Montigny-sous-Marle,4
25170000,Montigny-sur-Crécy,6
25180000,Montlevon,21
25190000,Montloué,7
25200000,Mont-Notre-Dame,15
25210000,Montreuil-aux-Lions,20
25220000,Mont-Saint-Jean,1
25230000,Mont-Saint-Martin,3
25240000,Mont-Saint-Père,13
25250000,Morcourt,16
25260000,Morgny-en-Thiérache,2
25280000,Mortefontaine,7
25290000,Mortiers,3
25300000,Moulins,2
25310000,Moussy-Verneuil,6
25320000,Moÿ-de-l'Aisne,16
25370000,Nanteuil-la-Fosse,4
25380000,Nanteuil-Notre-Dame,1
25390000,Nauroy,10
25400000,Nesles-la-Montagne,24
25410000,Neufchâtel-sur-Aisne,4
25420000,Neuflieux,2
25430000,Neuilly-Saint-Front,43
25440000,Neuve-Maison,12
25450000,La Neuville-Bosmont,8
25460000,La Neuville-en-Beine,6
25470000,La Neuville-Housset,3
25480000,La Neuville-lès-Dorengt,17
25490000,Neuville-Saint-Amand,17
25500000,Neuville-sur-Ailette,4
25520000,Neuvillette,6
25530000,Nizy-le-Comte,10
25540000,Nogentel,12
25550000,Nogent-l'Artaud,37
25560000,Noircourt,5
25570000,Noroy-sur-Ourcq,3
25580000,Le Nouvion-en-Thiérache,51
25590000,Nouvion-et-Catillon,17
25600000,Nouvion-le-Comte,7
25610000,Nouvion-le-Vineux,3
25630000,Noyales,6
25660000,Ognes,9
25670000,Ohis,8
25680000,Oigny-en-Valois,6
25690000,Oisy,13
25700000,Ollezy,2
25710000,Omissy,16
25720000,Orainville,6
25730000,Orgeval,1
25740000,Origny-en-Thiérache,41
25750000,Origny-Sainte-Benoite,23
25770000,Ostel,5
25780000,Oulches-la-Vallée-Foulon,3
25790000,Oulchy-la-Ville,2
25800000,Oulchy-le-Château,15
25820000,Paissy,5
25830000,Pancy-Courtecon,1
25840000,Papleux,4
25860000,Parfondeval,9
25870000,Parfondru,8
25880000,Pargnan,2
25890000,Pargny-Filain,6
25900000,Pargny-la-Dhuys,11
25910000,Pargny-les-Bois,1
25920000,Parpeville,6
25940000,Passy-en-Valois,2
25950000,Passy-sur-Marne,3
25960000,Pavant,11
