,x,y,xGPS,yGPS,xyGPS,Feeder,Geo,Geo_Name
N785,1593117.3215663002,7762523.383705827,1.6459679619045282,45.05898088338994,"(1.6459679619045282, 45.05898088338994)",F18,190570000,Collonges-la-Rouge
N786,1593120.0544865755,7762446.184651134,1.6460200172045298,45.058288315289964,"(1.6460200172045298, 45.058288315289964)",F18,190570000,Collonges-la-Rouge
N787,1593175.576177701,7762129.986685721,1.64679462400453,45.055458740289964,"(1.64679462400453, 45.055458740289964)",F18,190570000,Collonges-la-Rouge
N788,1593774.050616878,7762885.157327533,1.6542046785045057,45.06233332859002,"(1.6542046785045057, 45.06233332859002)",F18,190570000,Collonges-la-Rouge
N789,1594746.6467283275,7764399.208072742,1.666187140104461,45.07607905358999,"(1.666187140104461, 45.07607905358999)",F18,190570000,Collonges-la-Rouge
N790,1594743.3964693234,7764392.209982579,1.6661475180044656,45.07601571859002,"(1.6661475180044656, 45.07601571859002)",F18,190570000,Collonges-la-Rouge
N791,1593824.8358035071,7762661.08010543,1.6548982454045018,45.060329888289964,"(1.6548982454045018, 45.060329888289964)",F18,190570000,Collonges-la-Rouge
N792,1593630.082417467,7762217.965173215,1.6525311204045114,45.05632109088994,"(1.6525311204045114, 45.05632109088994)",F18,190570000,Collonges-la-Rouge
N793,1593059.8123740142,7761208.469102978,1.6455367408045345,45.04716792348992,"(1.6455367408045345, 45.04716792348992)",F18,191790000,Saillac
N794,1593477.8958245588,7761648.526081783,1.6507318570045153,45.05118506168994,"(1.6507318570045153, 45.05118506168994)",F18,190570000,Collonges-la-Rouge
N795,1594155.739950098,7762468.812579301,1.659132516804488,45.05865647728997,"(1.659132516804488, 45.05865647728997)",F18,190570000,Collonges-la-Rouge
N796,1593459.4848496802,7761567.405769845,1.6505169658045142,45.05045392218993,"(1.6505169658045142, 45.05045392218993)",F18,190570000,Collonges-la-Rouge
N797,1594163.8182731115,7762471.8976937765,1.6592341440044869,45.05868545298998,"(1.6592341440044869, 45.05868545298998)",F18,190570000,Collonges-la-Rouge
N798,1593456.368533469,7761557.390562657,1.6504797565045122,45.05036352028996,"(1.6504797565045122, 45.05036352028996)",F18,190570000,Collonges-la-Rouge
