,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT908,"7768423.85235, 1597278.45325","[1597278.4532478808, 7768423.852354275]",1597278.45325,7768423.85235,N4038,1.6973898006321608,45.112604014952076,190230000,Beynat,102.76078125,0.024449150503338915
BT911,"7768782.97848, 1598411.6679","[1598411.6679015753, 7768782.978483656]",1598411.6679,7768782.97848,N4124,1.7116800250851274,45.116001682157076,190230000,Beynat,102.76078125,0.024449150503338915
BT913,"7767845.88271, 1597941.57362","[1597941.573622517, 7767845.882706546]",1597941.5736200004,7767845.8827100005,N4120,1.7059221085716814,45.107517155220755,190230000,Beynat,102.76078125,0.024449150503338915
BT915,"7773377.36383, 1584260.93693","[1584260.936933814, 7773377.363830806]",1584260.9369299999,7773377.36383,N2720,1.5311385028567257,45.1549405210824,190310103,Poste,1301.8001000000002,0.28184589350402217
BT916,"7773267.61844, 1584346.47032","[1584346.4703166538, 7773267.618444425]",1584346.47032,7773267.6184399985,N2717,1.5322506740484625,45.15397014115111,190310103,Poste,1301.8001000000002,0.28184589350402217
BT917,"7773334.21408, 1584476.97977","[1584476.9797653821, 7773334.214080686]",1584476.97977,7773334.21408,N2705,1.5338902265636742,45.15459064278493,190310103,Poste,1301.8001000000002,0.28184589350402217
BT921,"7774015.72647, 1584289.88517","[1584289.8851724805, 7774015.726471669]",1584289.8851700001,7774015.72647,N2684,1.531349085473859,45.16067643417486,190310104,Arsonval,795.241111111111,0.17275388801700636
BT922,"7774269.19873, 1584264.44928","[1584264.44927919, 7774269.198727876]",1584264.4492799996,7774269.19873,N2683,1.5309640729146787,45.16294756480951,190310104,Arsonval,795.241111111111,0.17275388801700636
BT923,"7774398.51492, 1584259.67303","[1584259.673026951, 7774398.514922191]",1584259.67303,7774398.51492,N2681,1.5308717019441551,45.16410767397116,190310104,Arsonval,795.241111111111,0.17275388801700636
BT924,"7773931.64198, 1584458.63682","[1584458.636821597, 7773931.6419768995]",1584458.6368200001,7773931.64198,N2669,1.533511046783893,45.15995085621786,190310101,Centre,1154.06,0.25936133075057716
BT928,"7773732.99843, 1584524.38058","[1584524.3805801605, 7773732.998429682]",1584524.3805799999,7773732.9984300025,N2662,1.534393949402797,45.1581789347931,190310101,Centre,1154.06,0.25936133075057716
BT930,"7773282.14561, 1584892.35715","[1584892.3571441465, 7773282.145605418]",1584892.35715,7773282.145610001,N2671,1.5391732170780479,45.15419509603241,190310203,Caserne,847.3268946992425,0.20542706618829457
BT931,"7773084.69772, 1585126.66976","[1585126.669755851, 7773084.697720864]",1585126.66976,7773084.69772,N3211,1.5421942509577367,45.15246295688324,190310203,Caserne,847.3268946992425,0.20542706618829457
