,x,y,Shape,xyGPS,xGPS,yGPS
N2876,1591103.172667272,7772701.741364573,"(1591103.1726672719, 7772701.7413645731)","(1.618110602143445, 45.150028567458797)",1.618110602143445,45.1500285674588
N2877,1592441.2512456907,7772833.762430469,"(1592441.2512456907, 7772833.7624304686)","(1.6350568791735287, 45.151431154527678)",1.6350568791735287,45.15143115452768
N2878,1593583.9378873152,7758900.92366818,"(1593583.9378873152, 7758900.9236681797)","(1.6526923567830263, 45.026537551981569)",1.6526923567830263,45.02653755198157
N2879,1594667.825441199,7759158.182131289,"(1594667.8254411989, 7759158.1821312886)","(1.666355140464844, 45.029018683481432)",1.666355140464844,45.02901868348143
N2880,1594845.5141736632,7758190.563518855,"(1594845.5141736632, 7758190.5635188548)","(1.66881925921106, 45.020360743382064)",1.66881925921106,45.020360743382064
N2881,1593117.3142731502,7762522.632327914,"(1593117.3142731502, 7762522.6323279142)","(1.6459680392905611, 45.058974137199648)",1.6459680392905611,45.05897413719965
N2882,1592491.5323676476,7762361.498547754,"(1592491.5323676476, 7762361.4985477543)","(1.6380787006429487, 45.057427164926743)",1.6380787006429487,45.05742716492674
N2883,1597126.5624814164,7778070.29667929,"(1597126.5624814164, 7778070.29667929)","(1.6933588067386383, 45.199184543227055)",1.6933588067386383,45.199184543227055
N2884,1598393.24484,7779249.04144,"(1598393.2448400001, 7779249.0414399998)","(1.7091898379741015, 45.209962169602001)",1.7091898379741015,45.209962169602
N2885,1596996.8646497356,7779029.550060717,"(1596996.8646497356, 7779029.5500607174)","(1.6915017989387546, 45.207776863526369)",1.6915017989387546,45.20777686352637
N2886,1588483.7433495577,7768588.095318631,"(1588483.7433495577, 7768588.0953186313)","(1.5858502200523137, 45.112665595571862)",1.5858502200523137,45.11266559557186
N2887,1588157.7532948048,7770227.961920226,"(1588157.7532948048, 7770227.961920226)","(1.5813286976540712, 45.127332508888621)",1.5813286976540712,45.12733250888862
N2888,1589629.2547945944,7771452.1977656055,"(1589629.2547945944, 7771452.1977656055)","(1.5997034015122316, 45.138568253427643)",1.5997034015122316,45.13856825342764
N2889,1589800.3692750123,7773608.670456699,"(1589800.3692750123, 7773608.6704566991)","(1.6013698715788733, 45.157956412328431)",1.6013698715788733,45.15795641232843
N2890,1586586.5132991476,7770031.115673089,"(1586586.5132991476, 7770031.1156730894)","(1.5614502340570067, 45.125299887431247)",1.5614502340570067,45.12529988743125
